Reporting_Country,Flow,Commodity,Commodity_Type,Year,Value_Original,Value
Albania,Exports,A,Agricultural products,2006,"77,518,704",78
Algeria,Exports,A,Agricultural products,2006,"91,439,414",91
Angola,Exports,A,Agricultural products,2006,"62,368,753",62
Antigua and Barbuda,Exports,A,Agricultural products,2006,"1,260,128",1
Argentina,Exports,A,Agricultural products,2006,"21,351,235,088",21351
Armenia,Exports,A,Agricultural products,2006,"145,281,343",145
Aruba,Exports,A,Agricultural products,2006,"38,652,670",39
Australia,Exports,A,Agricultural products,2006,"22,178,304,648",22178
Austria,Exports,A,Agricultural products,2006,"11,861,887,426",11862
Azerbaijan,Exports,A,Agricultural products,2006,"365,513,293",366
Bahamas,Exports,A,Agricultural products,2006,"111,256,976",111
Bahrain,Exports,A,Agricultural products,2006,"60,201,623",60
Bangladesh,Exports,A,Agricultural products,2006,"885,563,841",886
Barbados,Exports,A,Agricultural products,2006,"82,193,039",82
Belarus,Exports,A,Agricultural products,2006,"1,844,415,400",1844
Belgium,Exports,A,Agricultural products,2006,"34,238,163,967",34238
Belize,Exports,A,Agricultural products,2006,"200,439,976",200
Benin,Exports,A,Agricultural products,2006,"184,646,650",185
Bolivia,Exports,A,Agricultural products,2006,"667,704,239",668
Bosnia and Herzegovina,Exports,A,Agricultural products,2006,"454,920,659",455
Botswana,Exports,A,Agricultural products,2006,"127,563,222",128
Brazil,Exports,A,Agricultural products,2006,"39,527,000,000",39527
Brunei Darussalam,Exports,A,Agricultural products,2006,"7,153,463",7
Bulgaria,Exports,A,Agricultural products,2006,"1,550,018,125",1550
Burundi,Exports,A,Agricultural products,2006,"45,129,347",45
Cabo Verde,Exports,A,Agricultural products,2006,"2,976,562",3
Cambodia,Exports,A,Agricultural products,2006,"79,709,001",80
Cameroon,Exports,A,Agricultural products,2006,"1,011,390,266",1011
Canada,Exports,A,Agricultural products,2006,"44,208,000,000",44208
Central African Republic,Exports,A,Agricultural products,2006,"30,254,728",30
Chile,Exports,A,Agricultural products,2006,"12,157,821,512",12158
China,Exports,A,Agricultural products,2006,"32,541,588,000",32542
Chinese Taipei,Exports,A,Agricultural products,2006,"4,359,534,144",4360
Colombia,Exports,A,Agricultural products,2006,"4,921,870,282",4922
Comoros,Exports,A,Agricultural products,2006,"2,233,312",2
Costa Rica,Exports,A,Agricultural products,2006,"2,371,668,892",2372
Côte d'Ivoire,Exports,A,Agricultural products,2006,"3,507,718,654",3508
Croatia,Exports,A,Agricultural products,2006,"1,520,368,156",1520
Cuba,Exports,A,Agricultural products,2006,"581,143,807",581
Cyprus,Exports,A,Agricultural products,2006,"237,879,380",238
Czech Republic,Exports,A,Agricultural products,2006,"4,715,407,627",4715
Denmark,Exports,A,Agricultural products,2006,"19,162,465,023",19162
Dominica,Exports,A,Agricultural products,2006,"14,362,817",14
Dominican Republic,Exports,A,Agricultural products,2006,"965,389,384",965
Ecuador,Exports,A,Agricultural products,2006,"3,945,389,463",3945
Egypt,Exports,A,Agricultural products,2006,"1,101,683,247",1102
El Salvador,Exports,A,Agricultural products,2006,"676,224,121",676
Estonia,Exports,A,Agricultural products,2006,"1,311,298,873",1311
Ethiopia,Exports,A,Agricultural products,2006,"908,468,083",908
Faeroe Islands,Exports,A,Agricultural products,2006,"592,225,135",592
Fiji,Exports,A,Agricultural products,2006,"340,160,480",340
Finland,Exports,A,Agricultural products,2006,"5,646,509,843",5647
France,Exports,A,Agricultural products,2006,"56,448,188,508",56448
French Polynesia,Exports,A,Agricultural products,2006,"28,283,743",28
FYR Macedonia,Exports,A,Agricultural products,2006,"404,210,306",404
Gabon,Exports,A,Agricultural products,2006,"454,150,321",454
Gambia,Exports,A,Agricultural products,2006,"9,748,930",10
Georgia,Exports,A,Agricultural products,2006,"254,359,455",254
Germany,Exports,A,Agricultural products,2006,"60,160,754,760",60161
Ghana,Exports,A,Agricultural products,2006,"1,615,568,125",1616
Greece,Exports,A,Agricultural products,2006,"4,735,532,669",4736
Greenland,Exports,A,Agricultural products,2006,"345,138,166",345
Grenada,Exports,A,Agricultural products,2006,"13,907,585",14
Guam,Exports,A,Agricultural products,2006,"1,000,000",1
Guatemala,Exports,A,Agricultural products,2006,"2,228,802,000",2229
Guinea,Exports,A,Agricultural products,2006,"110,566,586",111
Guyana,Exports,A,Agricultural products,2006,"338,604,926",339
Haiti,Exports,A,Agricultural products,2006,"28,980,000",29
Honduras,Exports,A,Agricultural products,2006,"1,132,899,920",1133
"Hong Kong, China",Exports,A,Agricultural products,2006,"4,688,244,925",4688
Hungary,Exports,A,Agricultural products,2006,"4,692,294,027",4692
Iceland,Exports,A,Agricultural products,2006,"1,856,936,829",1857
India,Exports,A,Agricultural products,2006,"12,452,317,389",12452
Indonesia,Exports,A,Agricultural products,2006,"17,907,000,000",17907
Iran,Exports,A,Agricultural products,2006,"2,911,262,325",2911
Iraq,Exports,A,Agricultural products,2006,"63,499,379",63
Ireland,Exports,A,Agricultural products,2006,"11,070,674,519",11071
Israel,Exports,A,Agricultural products,2006,"1,798,950,000",1799
Italy,Exports,A,Agricultural products,2006,"29,887,142,966",29887
Jamaica,Exports,A,Agricultural products,2006,"331,215,317",331
Japan,Exports,A,Agricultural products,2006,"6,469,453,000",6469
Jordan,Exports,A,Agricultural products,2006,"704,366,862",704
Kazakhstan,Exports,A,Agricultural products,2006,"1,299,485,994",1299
Kenya,Exports,A,Agricultural products,2006,"1,910,578,203",1911
Korea,Exports,A,Agricultural products,2006,"5,346,192,666",5346
Kuwait,Exports,A,Agricultural products,2006,"150,611,253",151
Kyrgyz Republic,Exports,A,Agricultural products,2006,"147,785,800",148
Latvia,Exports,A,Agricultural products,2006,"1,768,486,586",1768
Lebanese Republic,Exports,A,Agricultural products,2006,"306,809,524",307
Lesotho,Exports,A,Agricultural products,2006,"44,303,521",44
Libya,Exports,A,Agricultural products,2006,"23,267,898",23
Lithuania,Exports,A,Agricultural products,2006,"2,353,538,698",2354
Luxembourg,Exports,A,Agricultural products,2006,"1,061,683,697",1062
"Macao, China",Exports,A,Agricultural products,2006,"50,479,993",50
Madagascar,Exports,A,Agricultural products,2006,"370,773,757",371
Malawi,Exports,A,Agricultural products,2006,"571,622,275",572
Malaysia,Exports,A,Agricultural products,2006,"15,572,863,535",15573
Maldives,Exports,A,Agricultural products,2006,"133,592,925",134
Mali,Exports,A,Agricultural products,2006,"344,003,992",344
Malta,Exports,A,Agricultural products,2006,"164,593,083",165
Mauritius,Exports,A,Agricultural products,2006,"656,646,770",657
Mexico,Exports,A,Agricultural products,2006,"14,468,396,947",14468
Moldova,Exports,A,Agricultural products,2006,"470,956,210",471
Mongolia,Exports,A,Agricultural products,2006,"198,207,569",198
Montenegro,Exports,A,Agricultural products,2006,"73,951,657",74
Montserrat,Exports,A,Agricultural products,2006,"7,258",0
Morocco,Exports,A,Agricultural products,2006,"2,628,523,779",2629
Mozambique,Exports,A,Agricultural products,2006,"447,016,181",447
Namibia,Exports,A,Agricultural products,2006,"884,426,124",884
Nauru,Exports,A,Agricultural products,2006,"1,000,000",1
Nepal,Exports,A,Agricultural products,2006,"173,515,507",174
Netherlands,Exports,A,Agricultural products,2006,"72,351,743,170",72352
